תאריך ביצוע,"שם ני""ע",פעולה,כמות ביצוע,שער ביצוע,מטבע,עמלות ודמי ניהול,תמורה נטו לפני מס,רווח/הפסד,מס שנוכה/הוחזר בארץ,"מס חו""ל בשקלים"
04/12/24,PAYPAL HOLDINGS,קניה,116.0,86.0,דולר,-89.42,-36033.0,0.0,0,0.0
05/12/24,פועלים,מכירה,-2320.0,4328.0,"ש""ח",-104.92,100305.0,6266.0,1567,0.0
05/12/24,דיסקונט       א,מכירה,-2174.0,2439.0,"ש""ח",-57.52,52966.0,0.0,0,0.0
06/12/24,פועלים,קניה,4664.0,4280.0,"ש""ח",-199.62,-199819.0,0.0,0,0.0
06/12/24,אילים מני בנקים,מכירה,-88071.0,227.53,"ש""ח",-11.89,200376.0,21973.0,5493,0.0
06/12/24,אילים מני בנקים,מכירה,-53065.0,227.53,"ש""ח",-7.16,120732.0,6231.0,1558,0.0
06/12/24,נאייקס,מכירה,-89.5,9982.0,"ש""ח",-9.7,8924.0,1788.0,446.91,0.0
06/12/24,נאייקס,מכירה,-42.0,9981.0,"ש""ח",-4.55,4187.0,838.48,209.62,0.0
06/12/24,נאייקס,מכירה,-53.0,9980.0,"ש""ח",-5.75,5284.0,1058.0,264.39,0.0
06/12/24,נאייקס,מכירה,-152.0,9978.0,"ש""ח",-16.48,15150.0,3030.0,757.48,0.0
06/12/24,נאייקס,מכירה,-28.0,9976.0,"ש""ח",-3.03,2790.0,557.59,139.4,0.0
06/12/24,נאייקס,מכירה,-24.0,9966.0,"ש""ח",-2.6,2389.0,475.53,118.88,0.0
06/12/24,נאייקס,מכירה,-37.0,9958.0,"ש""ח",-4.0,3680.0,730.16,182.54,0.0
06/12/24,נאייקס,מכירה,-211.0,9930.0,"ש""ח",-22.77,20930.0,4105.0,1026,0.0
06/12/24,קסם אקטכספיתפט,קניה,272356.0,110.17,"ש""ח",0.0,-300055.0,0.0,0,0.0
09/12/24,PAYPAL HOLDINGS,מכירה,-411.0,91.85,דולר,-223.57,134885.0,10973.0,2743,0.0
09/12/24,פועלים,מכירה,-6576.0,4365.0,"ש""ח",-292.33,286750.0,6199.0,1550,0.0
09/12/24,TA125FOSSIL.MTF,מכירה,-2777.0,2342.0,"ש""ח",-69.12,64968.0,4667.0,1167,0.0
09/12/24,בינלאומי,מכירה,-183.0,17790.0,"ש""ח",-33.19,32523.0,758.58,189.64,0.0
09/12/24,בינלאומי,מכירה,-105.0,17950.0,"ש""ח",-19.22,18828.0,603.07,150.77,0.0
10/12/24,בינלאומי,דיבידנד,0.0,18030.0,"ש""ח",0.0,711.88,711.88,177.97,0.0
10/12/24,פוקס,מכירה,-2.0,29220.0,"ש""ח",-1.26,583.14,-581.52,-145.38,0.0
10/12/24,פוקס,מכירה,-41.0,29210.0,"ש""ח",-25.91,11950.0,-11925.0,-2981,0.0
10/12/24,קסם אקטכספיתפט,קניה,272208.0,110.22,"ש""ח",0.0,-300028.0,0.0,0,0.0
11/12/24,פועלים,דיבידנד,0.0,4332.0,"ש""ח",0.0,1630.0,1630.0,407.47,0.0
11/12/24,אשס.חוץ SPX 500,מכירה,-13.0,229640.0,"ש""ח",-31.46,29822.0,0.0,0,0.0
11/12/24,קסם אקטכספיתפט,קניה,181455.0,110.24,"ש""ח",0.0,-200036.0,0.0,0,0.0
11/12/24,BLOOMBERG MTF,מכירה,-11963.0,130.72,"ש""ח",-27.43,15611.0,505.59,126.4,0.0
11/12/24,קסם אקטכספיתפט,קניה,362911.0,110.24,"ש""ח",0.0,-400073.0,0.0,0,0.0
12/12/24,דיסקונט       א,דיבידנד,0.0,2459.0,"ש""ח",0.0,599.92,599.92,149.98,0.0
16/12/24,לאומי,קניה,1172.0,4195.0,"ש""ח",-49.17,-49215.0,0.0,0,0.0
16/12/24,פועלים,קניה,1167.0,4231.0,"ש""ח",-49.38,-49425.0,0.0,0,0.0
16/12/24,טבע,קניה,805.0,5981.0,"ש""ח",-48.15,-48195.0,0.0,0,0.0
17/12/24,קסם אקטכספיתפט,מכירה,-453350.0,110.3,"ש""ח",0.0,500045.0,498.85,124.71,0.0
18/12/24,PAYPAL HOLDINGS,קניה,112.0,89.5,דולר,-89.23,-36025.0,0.0,0,0.0
18/12/24,פועלים,קניה,114.0,4323.0,"ש""ח",-26.0,-4954.0,0.0,0,0.0
18/12/24,דיסקונט       א,קניה,2014.0,2461.0,"ש""ח",-49.56,-49614.0,0.0,0,0.0
19/12/24,קסם אקטכספיתפט,מכירה,-271961.0,110.33,"ש""ח",0.0,300055.0,263.01,65.75,0.0
19/12/24,דיסקונט       א,קניה,4063.0,2452.0,"ש""ח",-99.62,-99724.0,0.0,0,0.0
19/12/24,טבע,מכירה,-805.0,7330.0,"ש""ח",-59.3,58947.0,10752.0,2688,0.0
25/12/24,קסם אקטכספיתפט,מכירה,-363619.0,110.39,"ש""ח",0.0,401399.0,545.42,136.36,0.0
25/12/24,דיסקונט       א,מכירה,-6077.0,2490.0,"ש""ח",-152.88,151164.0,1826.0,456.49,0.0
25/12/24,לאומי,מכירה,-1169.0,4299.0,"ש""ח",-51.0,50204.0,1116.0,278.93,0.0
25/12/24,פועלים,מכירה,-1160.0,4310.0,"ש""ח",-50.72,49945.0,816.6,204.15,0.0
27/12/24,פועלים,קניה,1176.0,4190.0,"ש""ח",-49.27,-49324.0,0.0,0,0.0
31/12/24,פועלים,מכירה,-1297.0,4314.0,"ש""ח",-56.41,55896.0,1322.0,330.45,0.0
02/01/25,INTEL CORP,קניה,736.0,20.14,דולר,-104.06,-54204.0,0.0,0,0.0
02/01/25,טאואר,קניה,265.0,18520.0,"ש""ח",-49.08,-49127.0,0.0,0,0.0
02/01/25,VERIZON COMMUNICATI,קניה,250.0,40.13,דולר,-100.37,-36719.0,0.0,0,0.0
02/01/25,JOHNSON&JOHNSON,קניה,70.0,144.97,דולר,-101.65,-37141.0,0.0,0,0.0
03/01/25,אלביט מערכות,קניה,52.0,96260.0,"ש""ח",-50.06,-50105.0,0.0,0,0.0
09/01/25,לאומי,קניה,1121.0,4388.0,"ש""ח",-49.19,-49239.0,0.0,0,0.0
10/01/25,אלביט מערכות,מכירה,-52.0,101980.0,"ש""ח",-53.65,52976.0,2871.0,717.67,0.0
14/01/25,לאומי,מכירה,-1124.0,4500.0,"ש""ח",-51.0,50529.0,1164.0,291.09,0.0
14/01/25,טאואר,קניה,159.0,18600.0,"ש""ח",-29.57,-29604.0,0.0,0,0.0
16/01/25,0,עמלת דמי-נהול:תקופתי-חיוב,0.0,0.0,"ש""ח",-1.06,-1.06,-1.06,-0.27,0.0
17/01/25,אלביט מערכות,קניה,46.0,105730.0,"ש""ח",-48.64,-48684.0,0.0,0,0.0
